Partner ID,PQP Feb 25
390609,Franco Lagos KA
335604,Franco Lagos KA
65923,Franco Lagos KA
114103,Franco Lagos KA
133589,Javier Peñaloza KA
328076,Franco Lagos Tier
500987,Javier Peñaloza KA
205627,Sin PQP
106800,Sin PQP
293581,Sin PQP
65624,Franco Lagos Tier
509897,Franco Lagos Tier
345474,Franco Lagos Tier
500748,Javier Peñaloza KA
141502,Javier Peñaloza KA
106058,Franco Lagos Tier
204005,Franco Lagos KA
67195,Javier Peñaloza KA
68643,Franco Lagos KA
148031,Franco Lagos KA
323310,Sin PQP
66372,Sin PQP
166426,Franco Lagos KA
469133,Franco Lagos KA
90564,Sin PQP
228781,Sin PQP
443103,Franco Lagos KA
254690,Sin PQP
318940,Franco Lagos KA
58022,Javier Peñaloza KA
403023,Sin PQP
429007,Franco Lagos Tier
146409,Sin PQP
191686,Sin PQP
90351,Sin PQP
356323,Franco Lagos KA
407560,Javier Peñaloza KA
101339,Franco Lagos Tier
65833,Macka Ramirez
361187,Sin PQP
474777,Franco Lagos Tier
266276,Sin PQP
131883,Franco Lagos KA
186512,Franco Lagos KA
449230,Franco Lagos Tier
226595,Javier Peñaloza KA
144328,Sin PQP
328625,Sin PQP
105374,Sin PQP
474904,Javier Peñaloza KA
114214,Franco Lagos KA
104855,Franco Lagos Tier
133683,Javier Peñaloza KA
106870,Javier Peñaloza KA
533176,Sin PQP
488323,Javier Peñaloza KA
122004,Javier Peñaloza KA
464767,Javier Peñaloza KA
61299,Sin PQP
454265,Franco Lagos KA
66392,Javier Peñaloza KA
339988,Sin PQP
456329,Franco Lagos Tier
377228,Franco Lagos KA
140085,Franco Lagos Tier
55283,Franco Lagos Tier
358400,Sin PQP
101352,Javier Peñaloza KA
518137,Franco Lagos KA
327740,Franco Lagos KA
395048,Sin PQP
318813,Sin PQP
172339,Franco Lagos Tier
402379,Franco Lagos Tier
64373,Franco Lagos KA
66806,Javier Peñaloza KA
153599,Sin PQP
101454,Sin PQP
387899,Javier Peñaloza KA
119405,Sin PQP
416906,Franco Lagos Tier
336977,Franco Lagos KA
186283,Sin PQP
288024,Sin PQP
101288,Sin PQP
469134,Franco Lagos KA
238160,Franco Lagos Tier
317195,Sin PQP
325858,Sin PQP
223857,Sin PQP
65927,Franco Lagos KA
160253,Franco Lagos KA
267936,Sin PQP
110772,Javier Peñaloza KA
229301,Franco Lagos KA
522469,Macka Ramirez
133767,Javier Peñaloza KA
515243,Franco Lagos KA
205420,Javier Peñaloza KA
314843,Franco Lagos Tier
286875,Franco Lagos Tier
143815,Franco Lagos Tier
66559,Franco Lagos KA
301337,Franco Lagos KA
307148,Franco Lagos Tier
67197,Javier Peñaloza KA
107754,Javier Peñaloza KA
108106,Sin PQP
471429,Franco Lagos KA
443126,Franco Lagos KA
524441,Sin PQP
136226,Javier Peñaloza KA
108591,Sin PQP
411947,Javier Peñaloza KA
435690,Franco Lagos KA
162407,Macka Ramirez
128029,Franco Lagos Tier
62285,Javier Peñaloza KA
120913,Javier Peñaloza KA
514560,Franco Lagos KA
99378,Javier Peñaloza KA
5740,Franco Lagos Tier
121115,Sin PQP
62981,Javier Peñaloza KA
419630,Sin PQP
284058,Franco Lagos Tier
225789,Franco Lagos KA
318822,Franco Lagos Tier
459398,Franco Lagos Tier
277300,Franco Lagos KA
399333,Franco Lagos KA
194544,Sin PQP
350243,Macka Ramirez
201308,Sin PQP
146251,Franco Lagos Tier
372802,Franco Lagos KA
343629,Sin PQP
482434,Sin PQP
88438,Franco Lagos KA
130950,Javier Peñaloza Tier
357790,Javier Peñaloza KA
62973,Javier Peñaloza KA
60017,Franco Lagos KA
119184,Sin PQP
205410,Javier Peñaloza KA
155945,Sin PQP
270807,Franco Lagos KA
167054,Franco Lagos KA
370533,Franco Lagos KA
131458,Sin PQP
421111,Franco Lagos KA
172842,Franco Lagos KA
471823,Franco Lagos Tier
526325,Javier Peñaloza KA
147549,Javier Peñaloza KA
205361,Javier Peñaloza KA
126938,Sin PQP
127565,Franco Lagos KA
254673,Sin PQP
87335,Sin PQP
110837,Macka Ramirez
108721,Macka Ramirez
102178,Franco Lagos KA
480094,Franco Lagos KA
62153,Javier Peñaloza KA
318791,Sin PQP
425092,Macka Ramirez
432457,Franco Lagos KA
284722,Sin PQP
249597,Franco Lagos Tier
355042,Sin PQP
102938,Sin PQP
532849,Franco Lagos KA
319539,Javier Peñaloza KA
299012,Franco Lagos KA
166477,Franco Lagos KA
151646,Sin PQP
399336,Franco Lagos KA
435681,Franco Lagos KA
466063,Sin PQP
130979,Sin PQP
393597,Javier Peñaloza KA
254674,Sin PQP
1031,Javier Peñaloza KA
201993,Javier Peñaloza KA
404147,Franco Lagos KA
387875,Javier Peñaloza KA
515027,Javier Peñaloza KA
531436,Franco Lagos KA
271969,Sin PQP
88287,Franco Lagos KA
254662,Sin PQP
118779,Franco Lagos Tier
130121,Franco Lagos KA
205345,Javier Peñaloza KA
237315,Franco Lagos KA
115369,Sin PQP
440518,Javier Peñaloza KA
360650,Javier Peñaloza KA
244254,Javier Peñaloza KA
154282,Franco Lagos Tier
498781,Franco Lagos KA
161677,Sin PQP
453627,Sin PQP
87371,Franco Lagos Tier
441629,Javier Peñaloza KA
332198,Sin PQP
287789,Franco Lagos KA
130425,Franco Lagos KA
503392,Javier Peñaloza KA
105152,Javier Peñaloza KA
166897,Franco Lagos KA
379913,Sin PQP
360605,Macka Ramirez
50766,Franco Lagos Tier
491955,Franco Lagos KA
355349,Javier Peñaloza KA
130648,Sin PQP
109864,Sin PQP
320589,Macka Ramirez
402984,Javier Peñaloza KA
65691,Franco Lagos Tier
165071,Franco Lagos KA
160801,Macka Ramirez
181126,Franco Lagos KA
282865,Javier Peñaloza KA
130786,Franco Lagos Tier
272684,Franco Lagos KA
415027,Franco Lagos Tier
118804,Javier Peñaloza KA
121034,Sin PQP
167110,Sin PQP
105943,Franco Lagos KA
243810,Franco Lagos Tier
526131,Javier Peñaloza KA
383077,Franco Lagos KA
318540,Franco Lagos KA
45340,Sin PQP
113256,Franco Lagos KA
334344,Sin PQP
400047,Franco Lagos Tier
