Partner_id,Partner_name,Franchise_name,Mall,City_name_partner,Area_name_partner,Pqp_advisor
156698,Farmacias Knop - 83 Rancagua,Farmacias Knop,Mall Patio Rancagua,Rancagua,Rancagua,maria cecilia maturana
150110,Mister León,,Mall Plaza Buin,Buin,Buin,franco lagos lt
273873,Doggis Plaza Buin,Doggis,Mall Plaza Buin,Buin,Buin,nicole bustamante
280211,Damayo Sushi,,Mall Plaza Buin,Buin,Buin,franco lagos lt
283134,Fuente Munich,,Mall Plaza Buin,Buin,Buin,franco lagos tier
328427,Doggis Heladería Mall Plaza Buin,Doggis Heladeria,Mall Plaza Buin,Buin,Buin,nicole bustamante
395525,Frutti Mix,,Mall Plaza Buin,Buin,Buin,franco lagos lt
434139,Plaza Bar 907,,Mall Plaza Buin,Buin,Buin,franco lagos lt
461974,Chung Hwa,,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos lt
130281,Rincón Sureño Restaurant Rancagua,,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos tier
158397,Delicias San Martin,,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos lt
476668,Tarragona Mall Patio Rancagua - Courier 741,Tarragona,Mall Patio Rancagua,Rancagua,Rancagua,null
256044,Restaurant Perla Oriental,Restaurant Perla Oriental,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos tier
128642,Doggis Paseo Independencia,Doggis,Mall Patio Rancagua,Rancagua,Rancagua,nicole bustamante
129042,Juan Maestro Mall Patio Rancagua,Juan Maestro,Mall Patio Rancagua,Rancagua,Rancagua,nicole bustamante
191237,Varsovienne - Mall Arauco Maipu,Varsovienne,Mall Arauco Maipú,Santiago,Maipú,maria cecilia maturana
255622,Cinnabon Mall Arauco Maipu,Cinnabon,Mall Arauco Maipú,Santiago,Maipú,franco lagos tier
477719,Pizza Hut Mall Arauco Maipu - Courier,Pizza Hut,Mall Arauco Maipú,Santiago,Maipú,null
222913,Churromanía - Maipú,Churromania,Mall Arauco Maipú,Santiago,Maipú,franco lagos tier
244707,Tavelli Café - Mall Arauco Maipú,Tavelli,Mall Arauco Maipú,Santiago,Maipú,franco lagos tier
490779,Platón  Arauco Maipu,Platón,Mall Arauco Maipú,Santiago,Maipú,
47279,Mamut Mall Arauco Maipú,Mamut,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
59723,Tarragona - Arauco Mall Maipú,Tarragona,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
89945,Bariloche Arauco Maipú,Bariloche,Mall Arauco Maipú,Santiago,Maipú,franco lagos tier
106538,Doggis Mall Arauco Maipú,Doggis,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
112371,Pizza Hut - Mall Arauco Maipú,Pizza Hut,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
172316,Buffalo Waffles Mall Arauco Maipu,Buffalo Waffles,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
307197,Doggis Heladería Arauco Maipú,Doggis Heladeria,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
